"
01_Aquit_82441",,02_Square_85041,,DISTANCE = 7
quae,2,ba,0,7
re,1,ba,-1,8
re,1,ba,1,8
ba,0,mus,-2,9
ba,-1,mus,1,9
ba,1,mus,-1,9
et,-2,te,0,9
quid,2,et,0,10
quid,1,quid,2,11
quid,-1,quid,1,11
est,-1,quid,-1,11
quod,-1,est,0,12
me,2,quod,-2,13
me,1,me,2,13
me,-1,me,1,13
quae,-1,me,-1,13
re,-1,quae,-1,13
ba,0,re,-1,13
ba,1,ba,0,13
ba,-1,ba,0,14
tis,0,ba,1,15
ne,0,ba,-1,15
sci,2,tis,0,15
e,-1,ne,0,15
ba,0,sci,2,15
ba,3,e,-1,15
ba,0,ba,0,15
tis,-2,ba,3,15
tis,1,ba,0,15
tis,-1,tis,-2,15
qui,-2,tis,1,15
a,0,tis,-1,15
in,2,qui,-2,15
his,0,a,0,15
quae,-1,in,2,15
pa,3,his,0,15
tris,0,quae,-1,15
tris,0,pa,2,16
me,-3,tris,1,17
i,0,tris,0,17
i,1,me,-3,17
i,1,i,0,17
i,1,i,1,17
i,-1,i,1,17
i,-1,i,1,17
sunt,0,i,-1,17
sunt,-1,i,-1,17
sunt,1,sunt,0,17
o,-1,sunt,-1,17
o,1,sunt,1,17
por,-2,o,-1,17
por,1,o,1,17
tet,0,por,-2,17
tet,1,por,1,17
me,-2,tet,0,17
me,-1,tet,1,17
me,-1,me,-2,17
se,0,me,-1,17
,,me,-1,16
,,es,0,15
,,es,1,16
,,es,-1,17
,,se,0,18
"
","
","
","
","
"
"
17_Aquit_83892",,18_Square_85059,,DISTANCE = 17
Ju,0,Ju,0,0
sto,2,sto,2,0
rum,0,rum,-1,1
rum,-1,a,1,2
a,2,ni,-1,3
ni,-1,mae,-1,3
mae,-1,in,0,3
in,-1,in,1,4
in,1,ma,1,4
ma,1,nu,1,4
nu,1,nu,-2,4
nu,-2,de,1,4
de,1,i,-1,4
i,-1,sunt,-1,4
sunt,-1,et,0,4
et,0,non,1,4
non,1,tan,1,4
tan,1,get,-1,4
get,-1,il,-1,4
il,-1,il,1,4
il,1,los,-1,4
los,-1,tor,0,4
tor,0,men,0,4
men,0,men,1,4
men,1,men,2,4
men,2,men,-1,4
men,-1,men,1,4
men,1,tum,-2,4
tum,-1,tum,-1,4
tum,-2,ma,-1,5
ma,-1,li,1,6
ma,1,ti,0,6
li,0,ti,1,6
ti,0,ti,1,7
ti,2,ti,-1,8
ti,1,ti,1,8
ti,-1,ti,-1,8
ti,-2,ti,-1,9
ti,2,ti,1,10
ae,0,ae,0,10
ae,-2,ae,-1,11
vi,0,vi,4,12
vi,4,vi,1,13
vi,1,si,-1,13
si,-1,sunt,0,13
sunt,0,sunt,-1,13
sunt,-1,sunt,1,13
sunt,1,o,0,13
o,0,cu,-2,13
cu,-2,lis,1,13
lis,1,in,-1,13
in,-1,si,-1,13
in,-1,pi,2,13
si,0,en,-2,14
pi,2,ti,0,15
en,-2,um,2,15
en,-1,mo,-1,15
ti,1,mo,2,16
um,2,mo,-1,17
mo,-1,mo,0,17
mo,2,ri,0,18
mo,-1,ri,-1,18
mo,0,il,1,18
ri,0,il,-1,18
ri,-1,li,-1,18
il,1,li,-1,18
il,-1,au,1,18
li,-1,tem,-1,18
li,-1,sunt,0,18
au,1,sunt,1,18
tem,-1,in,-1,18
